respondent_scenario_id,respondent_id,scenario_id,recommendation_source,consistent_recommendation,agree_with_recommendation,biased,impartial,confident,objective,subjective,trustworthy
R_3EGfkDfLBd8gpt0-1_I,R_3EGfkDfLBd8gpt0,1_I,human,True,5,2,4,3,4,4,3
R_3EGfkDfLBd8gpt0-2_I,R_3EGfkDfLBd8gpt0,2_I,ai,False,5,2,4,3,4,4,3
R_3EGfkDfLBd8gpt0-3_I,R_3EGfkDfLBd8gpt0,3_I,ai,True,5,2,4,3,4,4,2
R_3EGfkDfLBd8gpt0-4_I,R_3EGfkDfLBd8gpt0,4_I,human,False,1,3,4,3,4,4,-2
R_3EGfkDfLBd8gpt0-5_I,R_3EGfkDfLBd8gpt0,5_I,human,False,5,2,4,3,4,4,3
R_3EGfkDfLBd8gpt0-6_I,R_3EGfkDfLBd8gpt0,6_I,ai,True,1,5,3,2,2,3,-7
R_3EGfkDfLBd8gpt0-7_I,R_3EGfkDfLBd8gpt0,7_I,ai,False,1,4,4,1,2,4,-8
R_3EGfkDfLBd8gpt0-8_I,R_3EGfkDfLBd8gpt0,8_I,human,True,5,2,4,3,4,4,3
R_1i2JH7NwfAB6XPK-1_B,R_1i2JH7NwfAB6XPK,1_B,human,False,5,3,4,3,4,4,3
R_1i2JH7NwfAB6XPK-2_B,R_1i2JH7NwfAB6XPK,2_B,ai,True,1,4,3,5,5,3,3
R_1i2JH7NwfAB6XPK-3_B,R_1i2JH7NwfAB6XPK,3_B,ai,False,5,2,4,4,4,4,4
R_1i2JH7NwfAB6XPK-4_B,R_1i2JH7NwfAB6XPK,4_B,human,True,1,3,4,3,4,4,-1
R_1i2JH7NwfAB6XPK-5_B,R_1i2JH7NwfAB6XPK,5_B,human,True,1,2,4,4,4,4,1
R_1i2JH7NwfAB6XPK-6_B,R_1i2JH7NwfAB6XPK,6_B,ai,False,1,4,2,3,4,2,0
R_1i2JH7NwfAB6XPK-7_B,R_1i2JH7NwfAB6XPK,7_B,ai,True,1,4,2,3,4,2,-1
R_1i2JH7NwfAB6XPK-8_B,R_1i2JH7NwfAB6XPK,8_B,human,False,1,5,2,2,1,2,-7
R_VUU7Ro2T6DlZbQR-1_J,R_VUU7Ro2T6DlZbQR,1_J,human,False,1,2,4,3,4,4,0
R_VUU7Ro2T6DlZbQR-2_J,R_VUU7Ro2T6DlZbQR,2_J,human,True,5,2,4,4,4,4,4
R_VUU7Ro2T6DlZbQR-3_J,R_VUU7Ro2T6DlZbQR,3_J,ai,False,5,4,3,2,3,3,-1
R_VUU7Ro2T6DlZbQR-4_J,R_VUU7Ro2T6DlZbQR,4_J,ai,True,1,4,2,3,4,2,0
R_VUU7Ro2T6DlZbQR-5_J,R_VUU7Ro2T6DlZbQR,5_J,ai,True,1,4,2,3,4,2,-1
R_VUU7Ro2T6DlZbQR-6_J,R_VUU7Ro2T6DlZbQR,6_J,ai,False,1,5,1,4,4,1,1
R_VUU7Ro2T6DlZbQR-7_J,R_VUU7Ro2T6DlZbQR,7_J,human,True,5,2,4,3,3,4,2
R_VUU7Ro2T6DlZbQR-8_J,R_VUU7Ro2T6DlZbQR,8_J,human,False,5,2,4,3,4,4,3
R_RkUCuQCXlPpFqXD-1_A,R_RkUCuQCXlPpFqXD,1_A,human,True,5,1,4,4,5,4,5
R_RkUCuQCXlPpFqXD-2_A,R_RkUCuQCXlPpFqXD,2_A,human,False,1,4,3,4,5,3,2
R_RkUCuQCXlPpFqXD-3_A,R_RkUCuQCXlPpFqXD,3_A,ai,True,5,2,4,4,5,4,7
R_RkUCuQCXlPpFqXD-4_A,R_RkUCuQCXlPpFqXD,4_A,ai,False,1,4,3,3,4,3,-1
R_RkUCuQCXlPpFqXD-5_A,R_RkUCuQCXlPpFqXD,5_A,ai,False,1,4,3,2,5,3,0
R_RkUCuQCXlPpFqXD-6_A,R_RkUCuQCXlPpFqXD,6_A,ai,True,1,4,3,4,4,3,1
R_RkUCuQCXlPpFqXD-7_A,R_RkUCuQCXlPpFqXD,7_A,human,False,5,3,4,2,4,4,2
R_RkUCuQCXlPpFqXD-8_A,R_RkUCuQCXlPpFqXD,8_A,human,True,5,2,4,1,2,4,-1
R_2y7d0TAqsMCPDEj-1_B,R_2y7d0TAqsMCPDEj,1_B,human,False,5,3,3,1,1,3,-4
